CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,5,5,-,"1,740.00","-1,363.00",100,"1,746.65","1,800.45",400,"21,800.00","1,050",2.05,2.10,"8,400",0.55,2.05,23.64,"2,71,011","1,27,515","1,27,515",
,-,-,-,-,-,-,"1,775","1,577.15","1,823.60","1,000","21,850.00","1,775",1.85,2.20,"1,900",0.50,2.20,23.23,"26,941","12,982","12,982",
,-,-,-,-,-,-,"1,775","1,530.50","1,780.15","1,000","21,900.00","9,875",2.30,2.35,"2,150",0.35,2.30,22.75,"99,139","45,584","45,584",
,-,-,-,-,-,-,"1,775","1,483.20","1,728.70","1,000","21,950.00","2,100",2.35,2.40,"3,000",0.15,2.40,22.25,"6,961","1,866","1,866",
,151,151,158,-,"1,555.90","-1,349.60",150,"1,572.90","1,662.25",125,"22,000.00","16,975",2.50,2.55,"1,775",-0.10,2.50,21.74,"2,34,671","1,02,361","1,02,361",
,-,-,-,-,-,-,"1,775","1,389.15","1,635.50","1,000","22,050.00",375,2.30,2.60,300,-0.35,2.65,21.28,"4,566",934,934,
,-,-,-,-,-,-,"1,775","1,332.45","1,595.05","1,000","22,100.00",500,2.45,2.65,"1,800",-1.00,2.45,20.44,"68,366","18,189","18,189",
,1,1,2,-,"1,399.05","-1,358.80",300,"1,403.80","1,444.05",675,"22,150.00",300,2.50,3.00,600,-1.05,2.65,20.02,"25,249","5,682","9,463",
,-,-,-,-,-,-,625,"1,333.10","1,431.60",625,"22,200.00",875,2.60,2.75,775,-1.55,2.75,19.48,"1,28,135","34,560","39,547",
,35,30,31,-,"1,296.40",-138.60,150,"1,304.80","1,343.50",75,"22,250.00","1,775",2.70,2.80,375,-1.60,2.80,18.90,"1,02,902","3,634","43,258",
,22,6,6,-,"1,268.00",-64.95,"1,525","1,260.00","1,301.70","1,200","22,300.00",50,2.65,2.80,550,-2.35,2.65,18.12,"2,04,990","35,043","40,550",
,5,-,-,-,"1,474.25",-,625,"1,184.00","1,281.80",625,"22,350.00",800,2.75,3.00,"2,775",-2.80,2.90,17.71,"22,542","1,945","2,692",
,39,7,9,-,"1,150.00",-30.00,"1,375","1,134.40","1,209.60","1,375","22,400.00",50,2.90,3.00,125,-2.85,3.00,17.15,"1,59,665","20,402","27,432",
,5,1,1,36.27,"1,226.30",-,100,"1,121.25","1,140.50",75,"22,450.00",50,3.05,3.30,50,-3.95,3.10,16.58,"33,149","3,914","5,359",
,"1,018",685,989,-,"1,069.95",-89.25,175,"1,075.85","1,087.65",100,"22,500.00",950,3.35,3.50,"3,175",-4.65,3.35,16.12,"3,93,686","1,10,158","1,40,209",
,3,-,-,-,"1,390.80",-2.25,625,985.60,"1,082.40",625,"22,550.00",900,3.40,3.60,700,-5.25,3.40,15.49,"43,005","3,232","5,065",
,25,10,39,-,969.95,-49.80,400,951.30,993.85,50,"22,600.00","1,350",3.90,4.00,"4,800",-6.20,4.00,15.21,"1,63,987","20,351","31,986",
,1,-,-,-,"1,289.90",-,625,887.15,983.50,625,"22,650.00","1,750",4.25,5.20,"1,500",-7.55,4.25,14.68,"60,251","2,991","7,065",
,184,40,40,-,854.70,-104.10,300,875.50,892.55,100,"22,700.00",425,5.10,5.50,875,-7.25,5.50,14.61,"1,93,483","31,117","42,226",
,2,1,2,-,803.95,-409.30,"1,500",774.90,880.10,100,"22,750.00",750,5.65,6.95,500,-9.80,6.15,14.18,"73,658","10,476","12,853",
,122,111,273,-,774.20,-148.80,"2,350",771.15,810.05,400,"22,800.00",50,7.25,7.80,50,-9.65,7.90,14.10,"3,02,948","69,425","90,477",
,22,19,25,14.81,739.50,-80.25,400,729.55,744.90,100,"22,850.00",50,8.60,9.40,50,-10.95,8.80,13.64,"69,223","10,237","12,373",
,445,388,771,13.97,689.50,-12.30,425,684.35,696.40,100,"22,900.00",250,10.25,10.90,25,-11.55,10.90,13.46,"1,39,811","15,632","30,805",
,4,2,10,10.08,629.95,-392.65,300,604.60,651.50,50,"22,950.00",50,12.65,13.25,50,-13.25,13.25,13.23,"74,944","6,972","12,698",
,"6,589","4,467","13,562",14.31,599.95,-49.50,25,594.00,600.00,150,"23,000.00",100,15.85,16.60,"1,050",-14.30,16.60,13.10,"4,76,037","71,888","1,39,469",
